iter	Passed	Remaining
668	55668	5565669	55669	5574670	55670	5584671	55671	5596672	55672	5605673	55673	5614	3590
674	5624	3583
675	5635	3576
676	5644	3568
677	5653	3560
678	5656679	56679	5664680	56680	5671681	56681	5677682	5679	3509
683	56683	5693684	56684	5702685	5702	3483
686	57686	5717687	57687	5729	3472
688	5739	3465
689	5748	3457
690	5756	3448
691	5767	3442
692	5774	3433
693	5781	3423
694	5788	3414
695	5798	3407
696	5806	3398
697	5813	3390
698	5822699	58699	5829700	58700	5841	3366
701	5849	3358
702	5862	3352
703	5872	3344
704	5878705	58705	5887	3327
706	5897707	58707	5905708	59708	5913709	59709	5920	3293
710	5929	3285
711	5940	3279
712	5946	3269
713	5955	3261
714	5967	3254
715	5984	3251
716	5996	3245
60	3212
718	5978	3209
719	5988	3202
	3150
721	5921	3141
722	5932	3134
723	5938	3125
724	5949	3118
725	5957	3110
726	5965	3101
727	5983	3098
728	5993	3091
